Navigated to file:///Users/madelaine/Desktop/csc428-master/views/device1.html
js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
js/task2a.js:181 Timestamp: 1426720592265: x:252, y:245
js/task2a.js:181 Timestamp: 1426720592281: x:253, y:246
js/task2a.js:181 Timestamp: 1426720592297: x:254, y:247
js/task2a.js:181 Timestamp: 1426720592314: x:257, y:249
js/task2a.js:181 Timestamp: 1426720592332: x:260, y:250
js/task2a.js:181 Timestamp: 1426720592349: x:264, y:252
js/task2a.js:181 Timestamp: 1426720592365: x:266, y:252
js/task2a.js:181 Timestamp: 1426720592383: x:268, y:252
js/task2a.js:181 Timestamp: 1426720592400: x:270, y:252
js/task2a.js:181 Timestamp: 1426720592418: x:272, y:252
js/task2a.js:181 Timestamp: 1426720592434: x:273, y:252
js/task2a.js:181 Timestamp: 1426720592451: x:275, y:252
js/task2a.js:181 Timestamp: 1426720592470: x:276, y:252
js/task2a.js:181 Timestamp: 1426720592486: x:277, y:252
js/task2a.js:181 Timestamp: 1426720592504: x:278, y:251
js/task2a.js:181 Timestamp: 1426720592521: x:280, y:250
js/task2a.js:181 Timestamp: 1426720592537: x:281, y:250
js/task2a.js:181 Timestamp: 1426720592554: x:282, y:249
js/task2a.js:181 Timestamp: 1426720592572: x:283, y:249
js/task2a.js:181 Timestamp: 1426720592590: x:284, y:249
js/task2a.js:181 Timestamp: 1426720592605: x:285, y:249
js/task2a.js:181 Timestamp: 1426720592622: x:286, y:249
js/task2a.js:181 Timestamp: 1426720592640: x:287, y:249
js/task2a.js:181 Timestamp: 1426720592656: x:289, y:249
js/task2a.js:181 Timestamp: 1426720592674: x:291, y:250
js/task2a.js:181 Timestamp: 1426720592690: x:294, y:250
js/task2a.js:181 Timestamp: 1426720592707: x:297, y:250
js/task2a.js:181 Timestamp: 1426720592725: x:299, y:250
js/task2a.js:165 Stop tracking information: Task 2, Part 3 completed in 1 attempt[s].
js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 426…}
js/task2a.js:155 Start tracking information: Task 2, Part 4, Attempt 1
js/task2a.js:181 Timestamp: 1426720594047: x:400, y:426
js/task2a.js:181 Timestamp: 1426720594064: x:402, y:426
js/task2a.js:181 Timestamp: 1426720594081: x:404, y:422
js/task2a.js:181 Timestamp: 1426720594098: x:407, y:417
js/task2a.js:181 Timestamp: 1426720594115: x:410, y:412
js/task2a.js:181 Timestamp: 1426720594135: x:413, y:407
js/task2a.js:181 Timestamp: 1426720594153: x:414, y:402
js/task2a.js:181 Timestamp: 1426720594171: x:417, y:398
js/task2a.js:181 Timestamp: 1426720594187: x:420, y:393
js/task2a.js:181 Timestamp: 1426720594204: x:422, y:389
js/task2a.js:181 Timestamp: 1426720594222: x:423, y:387
js/task2a.js:181 Timestamp: 1426720594238: x:425, y:385
js/task2a.js:181 Timestamp: 1426720594254: x:426, y:383
js/task2a.js:181 Timestamp: 1426720594271: x:427, y:381
js/task2a.js:181 Timestamp: 1426720594288: x:429, y:377
js/task2a.js:181 Timestamp: 1426720594304: x:431, y:370
js/task2a.js:181 Timestamp: 1426720594321: x:435, y:365
js/task2a.js:181 Timestamp: 1426720594338: x:437, y:361
js/task2a.js:181 Timestamp: 1426720594355: x:439, y:358
js/task2a.js:181 Timestamp: 1426720594372: x:440, y:355
js/task2a.js:181 Timestamp: 1426720594390: x:442, y:355
js/task2a.js:181 Timestamp: 1426720594406: x:443, y:354
js/task2a.js:181 Timestamp: 1426720594424: x:445, y:354
js/task2a.js:181 Timestamp: 1426720594441: x:447, y:352
js/task2a.js:181 Timestamp: 1426720594458: x:449, y:351
js/task2a.js:181 Timestamp: 1426720594476: x:451, y:348
js/task2a.js:181 Timestamp: 1426720594492: x:452, y:346
js/task2a.js:181 Timestamp: 1426720594509: x:453, y:344
js/task2a.js:181 Timestamp: 1426720594526: x:454, y:342
js/task2a.js:181 Timestamp: 1426720594543: x:455, y:341
js/task2a.js:181 Timestamp: 1426720594560: x:457, y:341
js/task2a.js:181 Timestamp: 1426720594577: x:458, y:340
js/task2a.js:181 Timestamp: 1426720594594: x:459, y:339
js/task2a.js:181 Timestamp: 1426720594611: x:459, y:338
js/task2a.js:181 Timestamp: 1426720594627: x:460, y:336
js/task2a.js:181 Timestamp: 1426720594646: x:461, y:335
js/task2a.js:181 Timestamp: 1426720594661: x:462, y:333
js/task2a.js:181 Timestamp: 1426720594680: x:464, y:330
js/task2a.js:181 Timestamp: 1426720594696: x:465, y:327
js/task2a.js:181 Timestamp: 1426720594714: x:467, y:325
js/task2a.js:181 Timestamp: 1426720594730: x:469, y:323
js/task2a.js:181 Timestamp: 1426720594747: x:472, y:320
js/task2a.js:181 Timestamp: 1426720594765: x:474, y:317
js/task2a.js:181 Timestamp: 1426720594780: x:477, y:315
js/task2a.js:181 Timestamp: 1426720594798: x:480, y:313
js/task2a.js:181 Timestamp: 1426720594815: x:484, y:310
js/task2a.js:181 Timestamp: 1426720594833: x:489, y:306
js/task2a.js:181 Timestamp: 1426720594849: x:492, y:303
js/task2a.js:181 Timestamp: 1426720594866: x:495, y:299
js/task2a.js:181 Timestamp: 1426720594883: x:498, y:294
js/task2a.js:181 Timestamp: 1426720594901: x:501, y:290
js/task2a.js:181 Timestamp: 1426720594918: x:504, y:284
js/task2a.js:181 Timestamp: 1426720594935: x:507, y:278
js/task2a.js:181 Timestamp: 1426720594955: x:510, y:274
js/task2a.js:181 Timestamp: 1426720594972: x:512, y:267
js/task2a.js:181 Timestamp: 1426720594989: x:514, y:263
js/task2a.js:181 Timestamp: 1426720595006: x:515, y:257
js/task2a.js:181 Timestamp: 1426720595023: x:518, y:251
js/task2a.js:181 Timestamp: 1426720595040: x:520, y:246
js/task2a.js:181 Timestamp: 1426720595056: x:523, y:241
js/task2a.js:181 Timestamp: 1426720595073: x:526, y:235
js/task2a.js:181 Timestamp: 1426720595090: x:529, y:230
js/task2a.js:181 Timestamp: 1426720595107: x:533, y:222
js/task2a.js:181 Timestamp: 1426720595125: x:537, y:214
js/task2a.js:181 Timestamp: 1426720595141: x:541, y:208
js/task2a.js:181 Timestamp: 1426720595159: x:545, y:201
js/task2a.js:181 Timestamp: 1426720595175: x:549, y:197
js/task2a.js:181 Timestamp: 1426720595192: x:551, y:194
js/task2a.js:181 Timestamp: 1426720595209: x:554, y:191
js/task2a.js:181 Timestamp: 1426720595226: x:557, y:188
js/task2a.js:181 Timestamp: 1426720595243: x:558, y:185
js/task2a.js:181 Timestamp: 1426720595260: x:559, y:183
js/task2a.js:181 Timestamp: 1426720595277: x:560, y:182
js/task2a.js:181 Timestamp: 1426720595294: x:561, y:181
js/task2a.js:181 Timestamp: 1426720595311: x:562, y:180
js/task2a.js:181 Timestamp: 1426720595328: x:563, y:180
js/task2a.js:181 Timestamp: 1426720595344: x:563, y:179
js/task2a.js:181 Timestamp: 1426720595369: x:564, y:179
js/task2a.js:181 Timestamp: 1426720595386: x:564, y:178
js/task2a.js:181 Timestamp: 1426720595403: x:565, y:178
js/task2a.js:181 Timestamp: 1426720595421: x:566, y:177
js/task2a.js:181 Timestamp: 1426720595437: x:567, y:176
js/task2a.js:181 Timestamp: 1426720595457: x:567, y:175
js/task2a.js:181 Timestamp: 1426720595475: x:568, y:174
js/task2a.js:181 Timestamp: 1426720595491: x:569, y:173
js/task2a.js:181 Timestamp: 1426720595508: x:570, y:173
js/task2a.js:181 Timestamp: 1426720595522: x:571, y:172
js/task2a.js:181 Timestamp: 1426720595541: x:572, y:171
js/task2a.js:181 Timestamp: 1426720595557: x:574, y:170
js/task2a.js:181 Timestamp: 1426720595574: x:575, y:170
js/task2a.js:181 Timestamp: 1426720595594: x:576, y:169
js/task2a.js:181 Timestamp: 1426720595608: x:577, y:169
js/task2a.js:181 Timestamp: 1426720595625: x:578, y:169
js/task2a.js:181 Timestamp: 1426720595642: x:579, y:166
js/task2a.js:181 Timestamp: 1426720595659: x:580, y:163
js/task2a.js:181 Timestamp: 1426720595675: x:583, y:158
js/task2a.js:181 Timestamp: 1426720595695: x:586, y:154
js/task2a.js:181 Timestamp: 1426720595710: x:588, y:153
js/task2a.js:181 Timestamp: 1426720595726: x:589, y:152
js/task2a.js:181 Timestamp: 1426720595753: x:591, y:152
js/task2a.js:181 Timestamp: 1426720595770: x:592, y:151
js/task2a.js:181 Timestamp: 1426720595792: x:593, y:151
js/task2a.js:165 Stop tracking information: Task 2, Part 4 completed in 1 attempt[s].
js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 141…}
js/task2a.js:155 Start tracking information: Task 2, Part 5, Attempt 1
js/task2a.js:181 Timestamp: 1426720597313: x:103, y:141
js/task2a.js:181 Timestamp: 1426720597329: x:106, y:141
js/task2a.js:181 Timestamp: 1426720597348: x:114, y:141
js/task2a.js:181 Timestamp: 1426720597365: x:126, y:141
js/task2a.js:181 Timestamp: 1426720597382: x:143, y:141
js/task2a.js:181 Timestamp: 1426720597400: x:160, y:141
js/task2a.js:181 Timestamp: 1426720597417: x:176, y:141
js/task2a.js:181 Timestamp: 1426720597432: x:191, y:141
js/task2a.js:181 Timestamp: 1426720597462: x:200, y:143
js/task2a.js:181 Timestamp: 1426720597465: x:204, y:145
js/task2a.js:181 Timestamp: 1426720597485: x:207, y:146
js/task2a.js:181 Timestamp: 1426720597499: x:209, y:147
js/task2a.js:181 Timestamp: 1426720597518: x:211, y:148
js/task2a.js:181 Timestamp: 1426720597535: x:214, y:148
js/task2a.js:181 Timestamp: 1426720597555: x:216, y:149
js/task2a.js:181 Timestamp: 1426720597569: x:218, y:149
js/task2a.js:181 Timestamp: 1426720597587: x:219, y:150
js/task2a.js:181 Timestamp: 1426720597603: x:221, y:150
js/task2a.js:181 Timestamp: 1426720597620: x:223, y:151
js/task2a.js:181 Timestamp: 1426720597638: x:224, y:152
js/task2a.js:181 Timestamp: 1426720597654: x:226, y:153
js/task2a.js:181 Timestamp: 1426720597673: x:227, y:154
js/task2a.js:181 Timestamp: 1426720597689: x:229, y:156
js/task2a.js:181 Timestamp: 1426720597705: x:230, y:157
js/task2a.js:181 Timestamp: 1426720597722: x:231, y:158
js/task2a.js:181 Timestamp: 1426720597740: x:233, y:158
js/task2a.js:181 Timestamp: 1426720597758: x:233, y:159
js/task2a.js:181 Timestamp: 1426720597774: x:236, y:160
js/task2a.js:181 Timestamp: 1426720597792: x:238, y:160
js/task2a.js:181 Timestamp: 1426720597810: x:240, y:161
js/task2a.js:181 Timestamp: 1426720597824: x:241, y:161
js/task2a.js:181 Timestamp: 1426720597843: x:242, y:161
js/task2a.js:181 Timestamp: 1426720597859: x:243, y:161
js/task2a.js:181 Timestamp: 1426720597881: x:244, y:162
js/task2a.js:181 Timestamp: 1426720597898: x:245, y:162
js/task2a.js:181 Timestamp: 1426720597914: x:246, y:163
js/task2a.js:181 Timestamp: 1426720597935: x:248, y:163
js/task2a.js:181 Timestamp: 1426720597949: x:249, y:163
js/task2a.js:181 Timestamp: 1426720597967: x:249, y:164
js/task2a.js:181 Timestamp: 1426720597984: x:251, y:164
js/task2a.js:181 Timestamp: 1426720598003: x:252, y:165
