Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:102 Timestamp: 1426723767574: x:399, y:347
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 2, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:102 Timestamp: 1426723768166: x:146, y:170
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 3, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:102 Timestamp: 1426723769000: x:445, y:448
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 4, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:102 Timestamp: 1426723769901: x:211, y:202
2/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 5, Attempt 1
Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/task2a.html
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 246…}
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:155 Start tracking information: Task 2, Part 1, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1426723772568: x:341, y:248
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1426723772629: x:342, y:248
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1426723772663: x:343, y:248
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1426723772694: x:344, y:248
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1426723772712: x:346, y:248
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1426723772730: x:351, y:248
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1426723772748: x:356, y:246
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1426723772764: x:360, y:246
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1426723772781: x:363, y:245
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1426723772798: x:366, y:244
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1426723772815: x:372, y:244
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1426723772832: x:380, y:244
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1426723772849: x:390, y:244
