Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:102 Timestamp: 1427157140401: x:337, y:415
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 2, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:102 Timestamp: 1427157141222: x:212, y:209
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 3, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:102 Timestamp: 1427157142112: x:436, y:457
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 4, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 4, Attempt 2
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:102 Timestamp: 1427157144283: x:205, y:206
2/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 5, Attempt 1
Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/task2a.html
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 256…}
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:155 Start tracking information: Task 2, Part 1, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147803: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147804: x:351, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147815: x:351, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147820: x:351, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147829: x:351, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147835: x:351, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147844: x:351, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147852: x:351, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147861: x:351, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147866: x:351, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147880: x:351, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147885: x:351, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147891: x:351, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147898: x:351, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147908: x:351, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147913: x:351, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147922: x:351, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147929: x:351, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147936: x:351, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427157147944: x:351, y:253
