Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
task2a.js:181 Timestamp: 1427323794513: x:489, y:255
task2a.js:181 Timestamp: 1427323794521: x:490, y:255
task2a.js:181 Timestamp: 1427323794530: x:491, y:255
task2a.js:181 Timestamp: 1427323794536: x:492, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794545: x:493, y:254
task2a.js:181 Timestamp: 1427323794552: x:494, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794563: x:496, y:253
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794566: x:497, y:252
task2a.js:181 Timestamp: 1427323794578: x:499, y:251
task2a.js:181 Timestamp: 1427323794582: x:501, y:250
task2a.js:181 Timestamp: 1427323794590: x:502, y:249
task2a.js:181 Timestamp: 1427323794601: x:503, y:249
task2a.js:181 Timestamp: 1427323794605: x:503, y:248
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794613: x:503, y:248
task2a.js:181 Timestamp: 1427323794623: x:503, y:248
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794629: x:503, y:248
task2a.js:181 Timestamp: 1427323794635: x:503, y:248
task2a.js:181 Timestamp: 1427323794644: x:503, y:248
task2a.js:181 Timestamp: 1427323794652: x:503, y:248
task2a.js:181 Timestamp: 1427323794661: x:503, y:248
task2a.js:181 Timestamp: 1427323794667: x:503, y:248
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794678: x:503, y:248
task2a.js:181 Timestamp: 1427323794682: x:503, y:248
task2a.js:181 Timestamp: 1427323794690: x:503, y:248
task2a.js:181 Timestamp: 1427323794698: x:503, y:248
task2a.js:181 Timestamp: 1427323794706: x:503, y:248
task2a.js:181 Timestamp: 1427323794713: x:503, y:248
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794721: x:503, y:248
task2a.js:181 Timestamp: 1427323794728: x:503, y:248
task2a.js:181 Timestamp: 1427323794736: x:503, y:249
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794747: x:502, y:249
task2a.js:181 Timestamp: 1427323794752: x:502, y:249
task2a.js:181 Timestamp: 1427323794762: x:502, y:249
task2a.js:181 Timestamp: 1427323794768: x:502, y:249
task2a.js:181 Timestamp: 1427323794772: x:501, y:249
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323794782: x:499, y:249
task2a.js:181 Timestamp: 1427323794791: x:497, y:249
task2a.js:165 Stop tracking information: Task 2, Part 1 completed in 1 attempt[s].
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 245…}
task2a.js:155 Start tracking information: Task 2, Part 2, Attempt 1
task2a.js:181 Timestamp: 1427323795787: x:251, y:244
task2a.js:181 Timestamp: 1427323795800: x:251, y:244
task2a.js:181 Timestamp: 1427323795804: x:251, y:244
task2a.js:181 Timestamp: 1427323795810: x:252, y:244
task2a.js:181 Timestamp: 1427323795821: x:253, y:244
task2a.js:181 Timestamp: 1427323795825: x:255, y:245
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323795839: x:256, y:245
task2a.js:181 Timestamp: 1427323795841: x:259, y:245
task2a.js:181 Timestamp: 1427323795849: x:261, y:245
task2a.js:181 Timestamp: 1427323795858: x:264, y:245
task2a.js:181 Timestamp: 1427323795865: x:268, y:245
task2a.js:181 Timestamp: 1427323795873: x:271, y:245
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323795888: x:275, y:245
task2a.js:181 Timestamp: 1427323795890: x:280, y:244
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323795899: x:284, y:244
task2a.js:181 Timestamp: 1427323795902: x:289, y:243
task2a.js:181 Timestamp: 1427323795909: x:293, y:243
task2a.js:181 Timestamp: 1427323795919: x:298, y:242
task2a.js:181 Timestamp: 1427323795925: x:304, y:242
task2a.js:181 Timestamp: 1427323795933: x:309, y:241
task2a.js:181 Timestamp: 1427323795942: x:315, y:241
task2a.js:181 Timestamp: 1427323795948: x:321, y:240
task2a.js:181 Timestamp: 1427323795958: x:326, y:239
task2a.js:181 Timestamp: 1427323795965: x:332, y:238
task2a.js:181 Timestamp: 1427323795973: x:338, y:237
task2a.js:181 Timestamp: 1427323795981: x:343, y:236
task2a.js:181 Timestamp: 1427323795988: x:348, y:235
task2a.js:181 Timestamp: 1427323795994: x:353, y:234
