Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
js/task2a.js:181 Timestamp: 1427322634108: x:509, y:250
js/task2a.js:181 Timestamp: 1427322634116: x:510, y:250
js/task2a.js:181 Timestamp: 1427322634123: x:511, y:250
js/task2a.js:181 Timestamp: 1427322634131: x:511, y:250
js/task2a.js:181 Timestamp: 1427322634146: x:511, y:251
js/task2a.js:181 Timestamp: 1427322634148: x:511, y:251
js/task2a.js:181 Timestamp: 1427322634154: x:509, y:252
js/task2a.js:165 Stop tracking information: Task 2, Part 1 completed in 1 attempt[s].
js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 257…}
js/task2a.js:155 Start tracking information: Task 2, Part 2, Attempt 1
js/task2a.js:181 Timestamp: 1427322635197: x:254, y:257
js/task2a.js:181 Timestamp: 1427322635207: x:254, y:257
js/task2a.js:181 Timestamp: 1427322635213: x:254, y:257
js/task2a.js:181 Timestamp: 1427322635225: x:254, y:256
js/task2a.js:181 Timestamp: 1427322635229: x:254, y:256
js/task2a.js:181 Timestamp: 1427322635246: x:253, y:256
js/task2a.js:181 Timestamp: 1427322635251: x:253, y:256
js/task2a.js:181 Timestamp: 1427322635260: x:253, y:256
js/task2a.js:181 Timestamp: 1427322635268: x:253, y:256
js/task2a.js:181 Timestamp: 1427322635274: x:253, y:256
js/task2a.js:181 Timestamp: 1427322635282: x:253, y:256
js/task2a.js:181 Timestamp: 1427322635291: x:253, y:256
js/task2a.js:181 Timestamp: 1427322635299: x:253, y:256
js/task2a.js:181 Timestamp: 1427322635308: x:253, y:255
js/task2a.js:181 Timestamp: 1427322635315: x:253, y:255
js/task2a.js:181 Timestamp: 1427322635321: x:254, y:255
js/task2a.js:181 Timestamp: 1427322635330: x:255, y:254
js/task2a.js:181 Timestamp: 1427322635337: x:256, y:254
js/task2a.js:181 Timestamp: 1427322635347: x:257, y:253
js/task2a.js:181 Timestamp: 1427322635352: x:259, y:252
js/task2a.js:181 Timestamp: 1427322635362: x:260, y:251
js/task2a.js:181 Timestamp: 1427322635369: x:262, y:250
js/task2a.js:181 Timestamp: 1427322635382: x:265, y:249
js/task2a.js:181 Timestamp: 1427322635383: x:267, y:248
js/task2a.js:181 Timestamp: 1427322635391: x:270, y:247
js/task2a.js:181 Timestamp: 1427322635398: x:273, y:246
js/task2a.js:181 Timestamp: 1427322635408: x:277, y:245
js/task2a.js:181 Timestamp: 1427322635417: x:281, y:244
js/task2a.js:181 Timestamp: 1427322635429: x:289, y:243
js/task2a.js:181 Timestamp: 1427322635436: x:293, y:242
js/task2a.js:181 Timestamp: 1427322635444: x:297, y:242
js/task2a.js:181 Timestamp: 1427322635453: x:302, y:241
js/task2a.js:181 Timestamp: 1427322635465: x:306, y:241
js/task2a.js:181 Timestamp: 1427322635467: x:311, y:241
js/task2a.js:181 Timestamp: 1427322635475: x:316, y:240
js/task2a.js:181 Timestamp: 1427322635485: x:321, y:240
js/task2a.js:181 Timestamp: 1427322635496: x:325, y:240
js/task2a.js:181 Timestamp: 1427322635501: x:329, y:240
js/task2a.js:181 Timestamp: 1427322635508: x:333, y:240
js/task2a.js:181 Timestamp: 1427322635517: x:337, y:240
js/task2a.js:181 Timestamp: 1427322635520: x:341, y:240
js/task2a.js:181 Timestamp: 1427322635531: x:345, y:240
js/task2a.js:181 Timestamp: 1427322635536: x:349, y:240
js/task2a.js:181 Timestamp: 1427322635544: x:352, y:240
js/task2a.js:181 Timestamp: 1427322635554: x:356, y:241
js/task2a.js:181 Timestamp: 1427322635560: x:359, y:241
js/task2a.js:181 Timestamp: 1427322635566: x:363, y:242
js/task2a.js:181 Timestamp: 1427322635574: x:366, y:242
js/task2a.js:181 Timestamp: 1427322635581: x:370, y:242
js/task2a.js:181 Timestamp: 1427322635592: x:373, y:242
js/task2a.js:181 Timestamp: 1427322635597: x:376, y:242
js/task2a.js:181 Timestamp: 1427322635608: x:380, y:243
js/task2a.js:181 Timestamp: 1427322635612: x:383, y:243
js/task2a.js:181 Timestamp: 1427322635620: x:386, y:243
js/task2a.js:181 Timestamp: 1427322635627: x:389, y:243
js/task2a.js:181 Timestamp: 1427322635635: x:393, y:243
js/task2a.js:181 Timestamp: 1427322635643: x:396, y:243
js/task2a.js:181 Timestamp: 1427322635650: x:400, y:243
